Job_Title,Education_Level,Years_Experience
Data Analyst,Bachelor,2
Software Engineer,Bachelor,4
Senior Software Engineer,Master,8
IT Support Specialist,Associate,3
System Administrator,Bachelor,6
Network Technician,Associate,5
Research Scientist,PhD,12
Lab Assistant,Bachelor,1
Project Manager,Master,10
Operations Manager,Bachelor,9
HR Coordinator,Bachelor,4
HR Manager,Master,11
Accountant,Bachelor,5
Senior Accountant,Master,9
Financial Analyst,Bachelor,3
Marketing Executive,Bachelor,2
Marketing Manager,Master,8
Sales Associate,High School,1
Sales Manager,Bachelor,7
Customer Support Agent,High School,2
Customer Success Manager,Bachelor,6
Mechanical Engineer,Bachelor,4
Senior Mechanical Engineer,Master,10
Civil Engineer,Bachelor,3
Site Supervisor,Associate,7
Architect,Master,6
UX Designer,Bachelor,3
UI Designer,Associate,2
Product Designer,Master,7
Product Manager,Master,9
Business Analyst,Bachelor,5
Senior Business Analyst,Master,11
Data Scientist,Master,6
Senior Data Scientist,PhD,13
Machine Learning Engineer,Master,5
AI Researcher,PhD,15
Teacher,Bachelor,4
Senior Teacher,Master,12
Professor,PhD,18
Teaching Assistant,Bachelor,1
Nurse,Associate,5
Senior Nurse,Bachelor,10
Medical Officer,Master,8
Surgeon,PhD,20
Pharmacist,Bachelor,6
Retail Store Manager,Bachelor,9
Cashier,High School,2
Warehouse Supervisor,Associate,6
Logistics Coordinator,Bachelor,4
Supply Chain Manager,Master,12
Electrician,High School,7
Senior Electrician,Associate,11
Plumber,High School,6
Maintenance Technician,Associate,5
Chef,Associate,8
Head Chef,Bachelor,14
Hotel Manager,Master,10
Receptionist,High School,3
Security Officer,High School,4
Quality Assurance Engineer,Bachelor,5
